Job Title,Company,Location,Required Skills,Years of Experience Required,Job Description,URL
AI Engineer,Zone IT Solutions,Texas City TX,Python;TensorFlow;Machine Learning;Data Science;SQL,3,We are looking for an AI Engineer to design and deploy ML pipelines. You will build scalable AI solutions using Python and TensorFlow. The role involves working with large datasets and cloud platforms. Strong knowledge of data preprocessing and model evaluation required. Collaborate with cross-functional teams to deliver production-ready models. Experience with AWS or GCP preferred.,https://www.adzuna.com/details/5643253638
Python AI Engineer,SRI TECH SOLUTION,Cleveland OH,Python;Azure;OpenAI;NLP;REST APIs,2,Seeking a Python AI Engineer with expertise in Azure OpenAI services. You will develop and maintain Python scripts to interact with Azure OpenAI APIs. Design scalable AI solutions for text generation and summarization. Build production-ready systems that address diverse business requirements. Strong Python and cloud experience required. Agile environment with fast delivery cycles.,https://www.adzuna.com/details/5647321831
AI Engineer,NuStar Technologies,Des Moines IA,Machine Learning;Deep Learning;NLP;PyTorch;Python,3,NuStar Technologies seeks an AI Engineer to build intelligent systems. You will develop deep learning models for NLP applications. Experience with PyTorch and transformer architectures required. Work closely with data teams to prepare training datasets. Deploy models to production using containerized environments. Strong communication skills and team collaboration expected.,https://www.adzuna.com/details/5643123456
AI Engineer,BJC HealthCare,St. Louis MO,Generative AI;Python;LLM;Machine Learning;Azure,4,BJC HealthCare is looking for an AI Engineer to implement generative AI solutions in healthcare. You will design LLM-based workflows for clinical documentation. Experience with Azure AI services and Python required. Must understand healthcare data privacy regulations. Collaborate with clinical teams to identify AI opportunities. Strong problem-solving and communication skills needed.,https://www.adzuna.com/details/5643789012
AI Engineer,Insight Global,Kansas City MO,Machine Learning;Python;TensorFlow;Docker;Kubernetes,3,Insight Global is hiring an AI Engineer for a leading client. You will build and maintain ML pipelines in a cloud-native environment. Docker and Kubernetes experience required for deployment. Strong Python and TensorFlow background expected. Work in an agile team delivering AI features iteratively. Competitive salary and growth opportunities available.,https://www.adzuna.com/details/5643345678
AI Engineer,TEKsystems,Papillion NE,Machine Learning;Python;AWS;Security Clearance;SQL,4,TEKsystems is seeking an AI Engineer with active security clearance. You will develop ML solutions for government clients. AWS experience and strong Python skills required. Must hold or be eligible for security clearance. Experience with data pipelines and ETL processes preferred. Strong documentation and compliance skills needed.,https://www.adzuna.com/details/5643901234
AI Solutions Engineer,Jobot,Fort Worth TX,Python;AI;Machine Learning;REST APIs;Agile,3,Jobot is hosting this role for a dynamic multi-industry company. You will help build AI solutions and agent workflows. Experience with Python and AI frameworks required. REST API development skills needed for integration work. Fast-paced environment with diverse technology stack. Salary up to 125000 per year with strong benefits package.,https://www.adzuna.com/details/5643253600
ML Engineer,Euronet Worldwide,Kansas City KS,Python;Machine Learning;TensorFlow;Keras;SQL,3,Euronet Worldwide seeks an ML Engineer for fintech AI applications. You will develop predictive models for financial transaction analysis. TensorFlow and Keras experience required. Strong SQL skills for data analysis and feature engineering. Work with large-scale transactional datasets. Experience in fintech or payments industry is a plus.,https://www.adzuna.com/details/5643567890
AI Engineer,Bright Vision Technologies,Houston TX,Python;Deep Learning;Computer Vision;PyTorch;OpenCV,2,Bright Vision Technologies is hiring an AI Engineer for computer vision projects. You will develop deep learning models for image and video analysis. PyTorch and OpenCV experience required. Work on real-time inference systems and model optimization. Strong mathematical background in linear algebra and statistics. Experience with edge deployment is a bonus.,https://www.adzuna.com/details/5643678901
AI Engineer,Cordova,Omaha NE,Python;NLP;Transformers;HuggingFace;MLflow,3,Cordova is seeking an AI Engineer to build NLP solutions. You will fine-tune transformer models using HuggingFace libraries. Experience with MLflow for experiment tracking required. Deploy models to production using Docker containers. Collaborate with product teams to define AI requirements. Strong communication and documentation skills expected.,https://www.adzuna.com/details/5643789013
Senior AI Engineer,Orion,Lincoln NE,Python;LLM;RAG;LangChain;AWS,5,Orion is looking for a Senior AI Engineer to lead LLM integration projects. You will design retrieval-augmented generation systems using LangChain. AWS deployment experience required. Lead a small team of engineers and coordinate with stakeholders. Strong Python and cloud architecture skills needed. Experience with vector databases like Pinecone or Weaviate preferred.,https://www.adzuna.com/details/5643890124
AI Research Engineer,VeeRteq Solutions,Dallas TX,Python;Research;Deep Learning;PyTorch;Publications,4,VeeRteq Solutions seeks an AI Research Engineer to advance state-of-the-art models. You will conduct applied research and implement novel architectures. Strong PyTorch skills required. Publications or research experience preferred. Work closely with product teams to transition research to production. PhD or equivalent research experience valued.,https://www.adzuna.com/details/5643901235
Data Scientist AI,Go Local Interactive,Omaha NE,Python;Machine Learning;Scikit-learn;SQL;Tableau,2,Go Local Interactive is hiring a Data Scientist with AI focus. You will build predictive models for marketing optimization. Scikit-learn and Python skills required. Strong SQL for data extraction and analysis. Tableau for visualization and stakeholder reporting. Experience in digital marketing analytics is a strong plus.,https://www.adzuna.com/details/5644012346
AI Platform Engineer,Cognizant,Des Moines IA,Python;MLOps;Kubernetes;Docker;CI/CD,4,Cognizant seeks an AI Platform Engineer to build MLOps infrastructure. You will design and maintain ML platform components. Kubernetes and Docker required for container orchestration. CI/CD pipeline experience essential. Work with data science teams to automate model deployment. Strong DevOps background with AI/ML focus preferred.,https://www.adzuna.com/details/5644123457
Applied AI Engineer,Teradata,Kansas City MO,Python;SQL;Machine Learning;Data Warehousing;Teradata,3,Teradata is looking for an Applied AI Engineer with strong data skills. You will build AI solutions on top of Teradata data platforms. SQL and Python required. Experience with data warehousing and analytics. Work with enterprise clients to deliver AI-powered insights. Knowledge of Teradata tools and ecosystem a strong plus.,https://www.adzuna.com/details/5644234568
Machine Learning Engineer,Quora,Remote,Python;Machine Learning;TensorFlow;Distributed Systems;Spark,4,Quora is hiring a Machine Learning Engineer for recommendation systems. You will build and improve ML models for content ranking. TensorFlow and distributed systems experience required. Apache Spark for large-scale data processing. Fully remote role with flexible working hours. Experience with A/B testing and experimentation frameworks preferred.,https://www.adzuna.com/details/5644345679
AI Engineer,TechVision Labs,Columbus OH,Python;Computer Vision;PyTorch;OpenCV;TensorFlow,3,TechVision Labs seeks an AI Engineer for computer vision applications. You will develop real-time image processing pipelines. PyTorch and OpenCV required. TensorFlow knowledge helpful for model conversion. Work on embedded and cloud deployment scenarios. Experience with ONNX or TensorRT for model optimization preferred.,https://www.adzuna.com/details/5644456780
NLP Engineer,DataMinds,Des Moines IA,Python;NLP;BERT;HuggingFace;Spacy,2,DataMinds is hiring an NLP Engineer to build language understanding systems. You will fine-tune BERT models for classification and extraction tasks. HuggingFace transformers required. SpaCy for text preprocessing pipelines. Work on chatbot and document analysis products. Experience with prompt engineering is a strong advantage.,https://www.adzuna.com/details/5644567891
AI Systems Engineer,MidWest AI Corp,Wichita KS,Python;MLOps;AWS;Terraform;Monitoring,4,MidWest AI Corp seeks an AI Systems Engineer to own model deployment infrastructure. You will build scalable serving systems on AWS. Terraform for infrastructure-as-code required. Monitoring and observability tools experience needed. Collaborate with data scientists to productionize models. Strong reliability engineering mindset expected.,https://www.adzuna.com/details/5644678902
Generative AI Engineer,InnovateTech,St. Louis MO,Python;LLM;Prompt Engineering;LangChain;OpenAI,3,InnovateTech is hiring a Generative AI Engineer to build LLM-powered products. You will design and implement prompt engineering strategies. LangChain and OpenAI API experience required. Work on customer-facing AI features with strong UX focus. Rapid prototyping and iteration in an agile environment. Experience with RAG architectures is highly valued.,https://www.adzuna.com/details/5644789013
AI Engineer,Central Data Systems,Omaha NE,Python;Machine Learning;SQL;Tableau;Scikit-learn,3,Central Data Systems seeks an AI Engineer with strong analytics skills. You will build ML models for business intelligence applications. Python and Scikit-learn required. SQL for data pipeline development. Tableau for business reporting and dashboards. Work with business stakeholders to translate requirements into AI solutions.,https://www.adzuna.com/details/5644890124
Deep Learning Engineer,NeuroTech Solutions,Cincinnati OH,Python;Deep Learning;PyTorch;CUDA;TensorRT,4,NeuroTech Solutions is looking for a Deep Learning Engineer to optimize neural networks. You will implement and accelerate deep learning models using CUDA. PyTorch required. TensorRT for inference optimization on GPU hardware. Experience with model quantization and pruning. Strong mathematics and optimization background expected.,https://www.adzuna.com/details/5644901235
AI Integration Engineer,PrairieAI,Topeka KS,Python;APIs;Machine Learning;REST;Microservices,2,PrairieAI seeks an AI Integration Engineer to connect AI services with enterprise systems. You will build REST APIs and microservices that expose ML model predictions. Python required. Experience with API design and documentation. Work with enterprise clients on integration projects. Knowledge of message queues and event-driven architecture is a plus.,https://www.adzuna.com/details/5645012346
MLOps Engineer,Heartland Tech,Des Moines IA,Python;MLOps;Airflow;Docker;Kubernetes,3,Heartland Tech is hiring an MLOps Engineer to automate the ML lifecycle. You will build Airflow DAGs for data and training pipelines. Docker and Kubernetes for containerized workloads. Monitor model performance in production. Collaborate with data scientists and platform teams. Experience with Feast or similar feature stores preferred.,https://www.adzuna.com/details/5645123457
AI Product Engineer,GreatPlains AI,Omaha NE,Python;Machine Learning;Product Management;APIs;Agile,3,GreatPlains AI seeks an AI Product Engineer bridging engineering and product. You will build AI features end-to-end from design to deployment. Python and ML experience required. Strong product sense and user empathy. Work in cross-functional agile teams. Experience with A/B testing and metrics-driven development highly valued.,https://www.adzuna.com/details/5645234568
